"Artikelnummer";"Name";"Kategorie";"Beschreibung";"EK";"Lieferanten Nr.";"Geändert";"VK Verkaufspreis "
"428107";"Dachziegelversiegelung Nanoprotectversiegelung";"";"Wie funktioniert sie?

Die Nanoversiegelung arbeitet nach dem Prinzip der Lotus-Effekt-Technologie:
Wasser perlt auf der behandelten Oberfläche ab, anstatt einzudringen oder sich auszubreiten.

Das passiert so:

Die Nanopartikel (z. B. Siliziumdioxid, SiO?) verankern sich an der Oberflächenstruktur der Dachziegel. 

Sie verändern die Oberflächenenergie so, dass Schmutz, Wasser und Algen kaum noch Halt finden. 

Das Wasser nimmt beim Abperlen Staub, Moos-Sporen und andere Verunreinigungen mit – die Oberfläche bleibt länger sauber.

Schritt 1: Hochdruckreinigen -&gt; Befreit die Ziegel von Schmutz sowie Moosbewachsung und schafft einen sauberen Untergrund.

Schritt 2: Die Trocknungsphase 

Schritt 3: Die Nanoprotect Versiegelung der Dachziegel. Wirkung auf Dachziegel
 ? Wasserabweisung (hydrophob)Regen perlt ab, das Dach trocknet schneller.?? FrostschutzDa weniger Wasser eindringt, gefriert im Winter kaum Feuchtigkeit – das schützt vor Abplatzungen oder Rissen.? Schutz vor Moos, Algen und FlechtenMikroorganismen finden weniger Halt und Nährboden.?? UV- und WitterungsbeständigkeitDer Belag schützt die Oberfläche vor UV-Zersetzung und Farbverlust.? SelbstreinigungseffektSchmutzpartikel werden mit Regenwasser abgewaschen (ähnlich wie bei Lotusblättern).Fazit


Schützt die Oberfläche nachhaltig vor Feuchtigkeit, Frost und biologischem Bewuchs,

erhält die Dachsubstanz und verlängert die Lebensdauer,

ist unsichtbar, atmungsaktiv und umweltfreundlicher als manche Dachbeschichtungen.

? Ideal für: ältere, poröse Ziegel oder Dächer in feuchten, moosanfälligen Regionen.

 ? Weniger sinnvoll: neue, glatte oder glasierte Ziegel mit bereits dichter Oberfläche.";"18";"";"06.11.25";"23.4"
"1311";"Trafo sowie Übergabestation (ÜSS)";"";"- Übergabestation sowie Trafostationen abgestimmt auf die Gesamtleistung der PV-Anlage inkl. SF6- Mittelspannungsschaltanlage K-T nach Bayernwerk-Standard, Messzelle, Zählerschrank, MS- und NS-Trafokabelverbindungen, Gründung, Transport und Montage.";"860000";"";"05.11.25";"1118000"
"428064";"Abdeckbahn Trapezblech";"";"- Wasserabweisung – Zusatzschutz unter Trapezblech";"15";"";"04.11.25";"19.5"
"1951";"SolarEdge ONE Controller HOME";"";"- Erfüllt alle Anforderungen des §14a EnWg
- Zusätzliche Rechenleistung mit Echtzeit-Monitoring für das Energiemanagement
- Ermöglicht Einbindung von ausgewählten Drittanbieter-Geräten wie Wallboxen oder Wärmepumpen";"369";"";"03.11.25";"381.95"
"428008";"Fronius Notstrom - Backup Controller 3PN-35A ink. Installation";"";"Produktinformationen

Fronius Backup Controller

Der Fronius Backup Controller ist eine Schalteinheit, die einen automatischen Übergang in den Full Backup-Modus ermöglicht. Bei einem Stromausfall schaltet er selbstständig in den Notstrombetrieb und wieder zurück in den Netzparallelbetrieb, sobald das Netz verfügbar ist. Diese Lösung sorgt dafür, dass der gesamte Haushalt stets sicher versorgt ist, solange genügend Energie aus der PVAnlage oder dem Speicher zur Verfügung steht – auch wenn niemand zu Hause ist

Einspeisephasen: 3Nennstrom (A): 35,00
AC Netzspannung (V): 230, 240
AC Netzfrequenz (Hz).: 50";"669";"";"03.11.25";"769.35"
"428106";"FRITZ! FRITZ!Repeater 600, International";"Netzwerk";"Wlan Typ: 802.11bDatenübertragungsrate: 600 Megabit pro SekundeFrequenzbandklasse: EinzelbandBesonderheiten: WLAN MechAnaloge RGB Eingänge: SchokoFrequenz: 2,4 GHzKompatible Geräte: Repeater 600Unterstützte Frequenzbänder: 2,4 GHzReichweite: 50 m   ";"33.9";"";"03.11.25";"44.07"
"428105";"Versetzen der Anlage pro Modul";"";"";"60";"";"03.11.25";"78"
"428104";"Quarterly Combined Residential and Commercial/Inverter";"";"";"0";"";"31.10.25";"0"
"428103";"Quarterly Combined Residential and Commercial";"";"";"0";"";"31.10.25";"0"
"428102";"Servicearbeiten";"";"";"0";"";"31.10.25";"0"
"1045";"Hardy Barth Wallbox 11 kW inkl. Montage und Einbau TSG";"Wallbox";"- Hardy Barth cPH2 1T11 8m Ladekabel, RFID
- Typ 2 Ladekabel 8 m
- RFID- Modul (5 Karte enthalten)
- MID Zähler
- Montage bis 10m inklusive
- Darüber hinaus wird nach tatsächlichem Aufwand abgerechnet ( 20€ pro 1m Kabelweg, 50€ pro Durchbruch)
- Einbau TSG (Steuereinheit für den Netzbetreiber)";"1475.56";"";"31.10.25";"1918.23"
"1358";"SolarEdge 8kW Hybrid Wechselrichter SE8K-RWB48";"";"SolarEdge Premium Hybrid-Wechselrichter:
SolarEdge Wechselrichter haben keinen MPP Tracker, sondern zwei Eingänge für die SolarEdge Modul Optimierer. Mit der Festspannungstechnologie arbeitet der SolarEdge Wechselrichter stets im optimalen Eingangsspannungsbereich, unabhängig von der Modul- und Stranganzahl. Über die Strangleitung werden die Leistungsdaten von jedem einzelnen PV-Moduloptimierer an den SolarEdge Wechselrichter übertragen und können über das Internet im SolarEdge Monitoring Portal visualisiert werden. 

- AC-Nennleistung: 8 kVA, 3-phasig
- Maximale Batterielade-/entladeleistung: 5 kW
- DC oder auch AC System mit SolarEdge Wechselrichter
- Kommunikation: Ethernet RJ45
- Schutzklasse: IP 65
- Garantie: 12 Jahre (auf bis zu 25 Jahre erweiterbar)
- Abmessungen: 907 x 317 x 192 mm (H x B x T)
- Gewicht: Brutto 40 kg / Netto 37 kg
- Integriertes Energy Home Netzwerk";"901.04";"";"30.10.25";"1481.46"
"1424";"SolarEdge 5kW Hybrid Wechselrichter SE5K-RWB48 ";"";"SolarEdge Premium Hybrid-Wechselrichter:
SolarEdge Wechselrichter haben keinen MPP Tracker, sondern zwei Eingänge für die SolarEdge Modul Optimierer. Mit der Festspannungstechnologie arbeitet der SolarEdge Wechselrichter stets im optimalen Eingangsspannungsbereich, unabhängig von der Modul- und Stranganzahl. Über die Strangleitung werden die Leistungsdaten von jedem einzelnen PV-Moduloptimierer an den SolarEdge Wechselrichter übertragen und können über das Internet im SolarEdge Monitoring Portal visualisiert werden. 

- AC-Nennleistung: 5 kVA, 3-phasig
- Maximale Batterielade-/entladeleistung: 5 kW
- DC oder auch AC System mit SolarEdge Wechselrichter
- Kommunikation: Ethernet RJ45
- Schutzklasse: IP 65
- Garantie: 12 Jahre (auf bis zu 25 Jahre erweiterbar)
- Abmessungen: 907 x 317 x 192 mm (H x B x T)
- Gewicht: Brutto 40 kg / Netto 37 kg
- Integriertes Energy Home Netzwerk";"850";"";"30.10.25";"1390"
"1186";"SolarEdge 10kW Hybrid Wechselrichter SE10K-RWB48";"";"SolarEdge Premium Hybrid-Wechselrichter:
SolarEdge Wechselrichter haben keinen MPP Tracker, sondern zwei Eingänge für die SolarEdge Modul Optimierer. Mit der Festspannungstechnologie arbeitet der SolarEdge Wechselrichter stets im optimalen Eingangsspannungsbereich, unabhängig von der Modul- und Stranganzahl. Über die Strangleitung werden die Leistungsdaten von jedem einzelnen PV-Moduloptimierer an den SolarEdge Wechselrichter übertragen und können über das Internet im SolarEdge Monitoring Portal visualisiert werden. 

- AC-Nennleistung: 10 kVA, 3-phasig
- Maximale Batterielade-/entladeleistung: 5 kW
- DC oder auch AC System mit SolarEdge Wechselrichter
- Kommunikation: Ethernet RJ45
- Schutzklasse: IP 65
- Garantie: 12 Jahre (auf bis zu 25 Jahre erweiterbar)
- Abmessungen: 907 x 317 x 192 mm (H x B x T)
- Gewicht: Brutto 40 kg / Netto 37 kg
- Integriertes Energy Home Netzwerk";"949.73";"";"30.10.25";"1629.62"
"428101";"Securanten Komplettmontage ";"";"";"18500";"";"29.10.25";"24050"
"428100";"Probe Rammung mit Auszugstest";"";"";"5000";"";"29.10.25";"6500"
"428099";"Montage Freifläche ";"";"- Montage Freifläche pro kwp";"0";"";"29.10.25";"0"
"1604";"PV- Speicher Sungrow 15 kWh";"PV- Speicher";"- SBH 150
- Permanenter 50 A Lade- und Entladestrom möglich
- Lebenslang erweiterbares System
- Zellchemie: Lithium-Eisenphosphat
- Zertifiziertes mehrstufiges Schutzkonzept, u.a. VDE 2510-50
- Plug and Play Aufbau
- Leistungsstarke Not- und Ersatzstrom-Funktionalität
- 10 Jahre ProduktgarantieProdukteigenschaften Sungrow SBH150 Batterie
- Batteriekapazität: 15 kWh
- Nennspannung: 211,2 V
- Max. Lade-/Entladestrom: 50 A
- Gewicht: 151 kg
- Schutzklasse: IP55
- Abmessungen: 675 x 740 x 350 mm";"5408.88";"";"28.10.25";"7031.54"
"428098";"Axial Tracker";"";"- Axial Tracker mit 10 Modulen ohne Fundament
- Sonderpreis wegen Erstinstallation";"0";"";"28.10.25";"6000"
"1978";"Hybrid - Wechselrichter Chint 10 kW   ";"Hybrid- WR";"Chint ECH10K-TH-EU
- Eingangsspannungsbereich von 160-1000 V
- MPP Tracker: 4
- Intelligente tou (time of use) Steuerung
- 2 Batterieausgänge
- Hoher Wirkungsgrad von bis zu 99,9 %
- Integrierter Vollwertiger Ersatzstrom
-  0.8 C Entladerate
- externe Anschlüsse, kein Öffnen des Wechselrichters nötig
- SG-Ready Kontakt vorhanden (zur Ansteuerung z.B. Wärmepumpe)
- 10 Jahre Garantie
- IP66  geschützt";"1184";"";"28.10.25";"1716.8"
"1994";"PV - Speicher Chint 20 kWH ";"PV- Speicher";"- Chint HV- Battery Residential
- Integrierter Frostschutz
- IP66 geschützt
- Jederzeit erweiterbar bis zu 240 kWh
- 10 Jahre Produktgarantie ";"3688";"";"27.10.25";"5347.6"
"1030";"Hybrid - Wechselrichter SMA 10 kW";"WR HY";"SMA Hybrid Sunny Tripower 10.0 Smart Energy

- Netzanschluss: 3-phasig 
- AC-Nennleistung: 10 kVA 
- Max. Leistung im Notstrombetrieb: 12kVA (max. 10 s) 
- MPP-Tracker: 2 Stringanschlüsse je MPPT: 1/2 Kommunikation: WLAN, Ethernet, CAN
- Schutzklasse: IP 65 
- Abmessungen: 598 x 500 x 173 mm (H x B x T)
- Garantie: 5 Jahre (Kostenlose Verlängerung auf 10 Jahre bei Online-Registrierung im SMA Portal)";"2231.46";"";"27.10.25";"2900.9"
"1675";"Elite - Solarcarport inkl. Module und Montage ";"";"Solarcarport/Terrassenüberdachung


Die Gestell-Konstruktion des Carports (ebenfalls als Terrassenüberdachung einsetzbar) besteht aus besonders langlebigen Aluminiumprofilen und bietet Ihrem Fahrzeug (oder Terrasseneinrichtung) Schutz vor Wind und Wetter. Die Profile werden mit Bolzenankern fest im Boden fixiert. In Asphalt- und Betonoberflächen kann direkt verschraubt werden, für andere Oberflächenbeschaffenheiten des Bodens wird ein entsprechendes Fundament benötigt.Die Verankarbarkeit des Untergrunds für die Verschraubung des Carports muss vom Kunden sichergestellt werden. Alternativ wird die Installation von Fundamenten übernommen und zusätzlich Abgerechnet. 


15 x ModuleJolywood 450W Glas/Glas Fullblack (100% systemgeeignet, nicht vorschriftskonform)

- Full Back 
- Glas / Glas Modul und somit höchst widerstandsfähig 
- 30 Jahre Garantie auf 87,4% der Leistung &amp; 25 Jahre Produktgarantie
- Die patentierte N-TOPCon Technologie ermöglicht deutlich verbesserte Diffuslichteigenschaften, eine höhere Bifazialität, einen niedrigeren Temperaturkoeffizienten und eine geringere Degradation. 
- Durch N-Type Zellen nicht anfällig für den lichtinduzierten Degradationseffekt (LID) und weisen auch nach Jahren nur minimale Verschleißerscheinungen auf.
- Maße: 1762 x 1134 x 30 mm




Montage 




- Montage des Carports sowie Module bis zum Speicher mit integrierten bzw. externen Wechselrichter inkl. Verkabelung und Unterkonstruktion für alle Module

- Vertragsbestandteil der DC Kabelführung ist der kürzeste Weg (PV-Module zu   Wechselrichter)Änderungen sind aufpreispflichtig

- Erdarbeiten sind kein Bestandteil der im Preis enthaltenen Kabelwege. Diese müssen vom Kunden vorbereitet werden. Alternativ werden die Erdarbeiten übernommen und zusätzlich Abgerechnet. 

- 4x Bewehrungskorb inkl.";"4500";"";"23.10.25";"6850"
"1517";"ARCHIV    5,28 kWp Solarcarport inkl. Module und Montage ";"";"Nicht aktuell!!!
Solarcarport


Die Gestell-Konstruktion des Carports besteht aus besonders langlebigen Aluminiumprofilen und bietet Ihrem Fahrzeug mit einer Einfahrhöhe von 2.650 mm und einer Breite von 3.640 mm, sowie einer Länge von 6.840 mm Schutz vor Wind und Wetter. Die Durchfahrtshöhe beträgt hierbei 2.200 mm. Die Profile werden mit Bolzenankern fest im Boden fixiert. In Asphalt- und Betonoberflächen kann direkt verschraubt werden, für andere Oberflächenbeschaffenheiten des Bodens wird ein entsprechendes Fundament benötigt.Die Verankarbarkeit des Untergrunds für die Verschraubung des Carports muss vom Kunden sichergestellt werden. Alternativ wird die Installation von Fundamenten übernommen und zusätzlich Abgerechnet. 


12 x Module


- Hochleistungsmodul JW-HD108N-440W Full Back (nicht entsprechend Vorschrift) 


- Glas / Glas Modul und somit höchst widerstandsfähig 

- 30 Jahre Garantie auf 87,4% der Leistung &amp; 25 Jahre Produktgarantie

- Die patentierte N-TOPCon Technologie ermöglicht deutlich verbesserte Diffuslichteigenschaften, eine höhere Bifazialität, einen niedrigeren Temperaturkoeffizienten und eine geringere Degradation. 

- Durch N-Type Zellen nicht anfällig für den lichtinduzierten Degradationseffekt (LID) und weisen auch nach Jahren nur minimale Verschleißerscheinungen auf.

Oder alternativ VSG- Module von Solitek ( entsprechend Vorschrift) 435W. +1500€ 




Montage 

- Montage des Carports sowie  Module bis zum Speicher mit integrierten bzw. externen Wechselrichter inkl. Verkabelung und Unterkonstruktion für alle Module

- Vertragsbestandteil der DC Kabelführung ist der kürzeste Weg (PV-Module zu   Wechselrichter)Änderungen sind aufpreispflichtig

- Erdarbeiten sind kein Bestandteil der im Preis enthaltenen Kabelwege. Diese müssen vom Kunden vorbereitet werden. Alternativ werden die Erdarbeiten übernommen und zusätzlich Abgerechnet. ";"5877";"";"23.10.25";"7980"
"428097";"Detailabdichtung mit Flüssigkunststoff";"";"Spezial-Abdichtung mit Flüssikkunststoff

Verwendetes Material ist Frankosil.


Die Detailabdichtung enthällt alle Anschlüsse und

vorbehandlungen der Untergrundes, sowie das Säubern

des Untergrundes vor Beginn der Arbeiten.

Abwicklung bis 500mm";"193.57";"";"21.10.25";"203.25"
"428096";"Absturzsicherung mit Seilsystem montieren ";"";"LUX-top® ASP EV 30/2 - Ø 26 mm

Anschlagpunkt (H=300 mm); Edelstahl rostfrei

Fußplatte: 150 x 150 x 6 mm

7.750,00 € 7.750,00 LUX-top® ASP EV 30/2s - Ø 18 mm

Anschlagpunkt (H=300 mm); Edelstahl rostfrei

Fußplatte: 80 x 150 x 6 mm

LUX-top® FSE 2003 Seilsystem - überfahrbar

LUX-top® EDS Bitumen Ø 30 mm - schwarz, besandet

Eindichtmanschette zum Anschluss von

Bitumenabdichtungen an LUX-top® Anschlagpunkte

Material: Polymerbitumen

PSA Sicherheitsset PSAgA 5 m:

PSA Mitlaufendes Auffanggerät MAS SK12 (5 m)

Geprüft nach DIN EN 353-2 Zum Verbinden von

Auffanggurt und Anschlageinrichtung. Länge mittels

Seilkürzer einstellbar.Geeignet für vertikale + horizontale

Benutzung bei Kantenbeanspruchung mit Radius r=0,5

mm

PSA Auffanggurt MAS 30

Geprüft nach DIN EN 361 Standardausführung:

Konfektionsgröße 48-56 Ausstattung siehe

www.mas-safety.de/auffanggurte

PSA LUX-top® Matchsack

Zur Aufbewahrung der Persönlichen Schutzausrüstung

gegen Absturz. Material: Polyester";"7750";"";"21.10.25";"8137.5"
"428095";"Attika Montieren ";"";"Attika aus Titanzink montieren

Abwicklung bis 500mm";"77.26";"";"21.10.25";"81.12"
"428094";"Wandanschluss mit Titanzink ";"";"Wandanschluss mittels Überhangstreifen aus Titanzink an

Gebäudeaußenwand anschließen.

Abwicklung bis: 333mm";"49.94";"";"21.10.25";"52.44"
"428093";"Lichtkuppel/Lüfter Eindichten";"";"Lichtkuppel / Lüfter Fachgerecht eindichten, mittels Flüssig-

Kunststoff incl. Flieseinlage.

Zuschnitt bis max. 400mm";"113.74";"";"21.10.25";"119.43"
"428092";"Folienblech als Anschluss an aufgehenden Bauteilen";"";"Folienblech als Anschluss an aufgehenden Bauteilen

montieren und verschweißen

Anschluss an Lichtkuppel, Lüfter, usw.";"68.7";"";"21.10.25";"72.14"
